 EQUATION NUMBER
 ---------------------
     node   dof    eqn
  185   -2.253E+00  8.571E-01
  186   -3.307E+00  1.525E+00
  187   -4.365E+00  2.379E+00
  188   -5.449E+00  3.432E+00
  189   -6.574E+00  4.702E+00
  190   -7.743E+00  6.208E+00
  191   -8.952E+00  7.970E+00
  192   -1.019E+01  1.000E+01
  193   -1.144E+01  1.231E+01
  194   -1.268E+01  1.492E+01
  195   -1.389E+01  1.783E+01
  196   -1.499E+01  2.118E+01
 
 STRESS of ELEMENT :    1
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          6.377E-02  2.126E-02  3.566E-02
    2          6.377E-02  2.126E-02  3.566E-02
    3          6.377E-02  2.126E-02  3.566E-02
 
 STRESS of ELEMENT :    2
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          7.008E-02  3.700E-02  4.285E-02
    2          7.008E-02  3.700E-02  4.285E-02
    3          7.008E-02  3.700E-02  4.285E-02
 
 STRESS of ELEMENT :    3
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          7.284E-02  4.422E-02  5.451E-02
    2          7.284E-02  4.422E-02  5.451E-02
    3          7.284E-02  4.422E-02  5.451E-02
 
 STRESS of ELEMENT :    4
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          7.238E-02  5.016E-02  6.851E-02
    2          7.238E-02  5.016E-02  6.851E-02
    3          7.238E-02  5.016E-02  6.851E-02
 
 STRESS of ELEMENT :    5
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          6.949E-02  5.613E-02  8.283E-02
    2          6.949E-02  5.613E-02  8.283E-02
    3          6.949E-02  5.613E-02  8.283E-02
 
 STRESS of ELEMENT :    6
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          6.502E-02  6.182E-02  9.573E-02
    2          6.502E-02  6.182E-02  9.573E-02
    3          6.502E-02  6.182E-02  9.573E-02
 
 STRESS of ELEMENT :    7
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          5.962E-02  6.655E-02  1.060E-01
    2          5.962E-02  6.655E-02  1.060E-01
    3          5.962E-02  6.655E-02  1.060E-01
 
 STRESS of ELEMENT :    8
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          5.354E-02  6.972E-02  1.132E-01
    2          5.354E-02  6.972E-02  1.132E-01
    3          5.354E-02  6.972E-02  1.132E-01
 
 STRESS of ELEMENT :    9
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          4.662E-02  7.091E-02  1.171E-01
    2          4.662E-02  7.091E-02  1.171E-01
    3          4.662E-02  7.091E-02  1.171E-01
 
 STRESS of ELEMENT :   10
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          3.828E-02  6.980E-02  1.177E-01
    2          3.828E-02  6.980E-02  1.177E-01
    3          3.828E-02  6.980E-02  1.177E-01
 
 STRESS of ELEMENT :   11
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          2.748E-02  6.608E-02  1.147E-01
    2          2.748E-02  6.608E-02  1.147E-01
    3          2.748E-02  6.608E-02  1.147E-01
 
 STRESS of ELEMENT :   12
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          1.297E-02  5.931E-02  1.071E-01
    2          1.297E-02  5.931E-02  1.071E-01
    3          1.297E-02  5.931E-02  1.071E-01
 
 STRESS of ELEMENT :   13
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -5.893E-03  4.920E-02  9.266E-02
    2         -5.893E-03  4.920E-02  9.266E-02
    3         -5.893E-03  4.920E-02  9.266E-02
 
 STRESS of ELEMENT :   14
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          7.500E-02  2.500E-02  3.767E-02
    2          7.500E-02  2.500E-02  3.767E-02
    3          7.500E-02  2.500E-02  3.767E-02
 
 STRESS of ELEMENT :   15
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          7.672E-02  3.173E-02  4.402E-02
    2          7.672E-02  3.173E-02  4.402E-02
    3          7.672E-02  3.173E-02  4.402E-02
 
 STRESS of ELEMENT :   16
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          7.482E-02  3.464E-02  5.463E-02
    2          7.482E-02  3.464E-02  5.463E-02
    3          7.482E-02  3.464E-02  5.463E-02
 
 STRESS of ELEMENT :   17
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          7.002E-02  3.802E-02  6.703E-02
    2          7.002E-02  3.802E-02  6.703E-02
    3          7.002E-02  3.802E-02  6.703E-02
 
 STRESS of ELEMENT :   18
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          6.341E-02  4.277E-02  7.924E-02
    2          6.341E-02  4.277E-02  7.924E-02
    3          6.341E-02  4.277E-02  7.924E-02
 
 STRESS of ELEMENT :   19
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          5.603E-02  4.834E-02  8.983E-02
    2          5.603E-02  4.834E-02  8.983E-02
    3          5.603E-02  4.834E-02  8.983E-02
 
 STRESS of ELEMENT :   20
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          4.856E-02  5.371E-02  9.801E-02
    2          4.856E-02  5.371E-02  9.801E-02
    3          4.856E-02  5.371E-02  9.801E-02
 
 STRESS of ELEMENT :   21
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          4.115E-02  5.798E-02  1.035E-01
    2          4.115E-02  5.798E-02  1.035E-01
    3          4.115E-02  5.798E-02  1.035E-01
 
 STRESS of ELEMENT :   22
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          3.349E-02  6.056E-02  1.064E-01
    2          3.349E-02  6.056E-02  1.064E-01
    3          3.349E-02  6.056E-02  1.064E-01
 
 STRESS of ELEMENT :   23
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          2.487E-02  6.118E-02  1.066E-01
    2          2.487E-02  6.118E-02  1.066E-01
    3          2.487E-02  6.118E-02  1.066E-01
 
 STRESS of ELEMENT :   24
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          1.440E-02  5.981E-02  1.042E-01
    2          1.440E-02  5.981E-02  1.042E-01
    3          1.440E-02  5.981E-02  1.042E-01
 
 STRESS of ELEMENT :   25
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          1.473E-03  5.670E-02  9.862E-02
    2          1.473E-03  5.670E-02  9.862E-02
    3          1.473E-03  5.670E-02  9.862E-02
 
 STRESS of ELEMENT :   26
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -1.364E-02  5.240E-02  8.832E-02
    2         -1.364E-02  5.240E-02  8.832E-02
    3         -1.364E-02  5.240E-02  8.832E-02
 
 STRESS of ELEMENT :   27
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          8.015E-02  2.672E-02  3.773E-02
    2          8.015E-02  2.672E-02  3.773E-02
    3          8.015E-02  2.672E-02  3.773E-02
 
 STRESS of ELEMENT :   28
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          7.754E-02  2.603E-02  4.391E-02
    2          7.754E-02  2.603E-02  4.391E-02
    3          7.754E-02  2.603E-02  4.391E-02
 
 STRESS of ELEMENT :   29
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          7.135E-02  2.514E-02  5.377E-02
    2          7.135E-02  2.514E-02  5.377E-02
    3          7.135E-02  2.514E-02  5.377E-02
 
 STRESS of ELEMENT :   30
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          6.275E-02  2.659E-02  6.472E-02
    2          6.275E-02  2.659E-02  6.472E-02
    3          6.275E-02  2.659E-02  6.472E-02
 
 STRESS of ELEMENT :   31
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          5.314E-02  3.065E-02  7.494E-02
    2          5.314E-02  3.065E-02  7.494E-02
    3          5.314E-02  3.065E-02  7.494E-02
 
 STRESS of ELEMENT :   32
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          4.367E-02  3.635E-02  8.336E-02
    2          4.367E-02  3.635E-02  8.336E-02
    3          4.367E-02  3.635E-02  8.336E-02
 
 STRESS of ELEMENT :   33
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          3.494E-02  4.236E-02  8.959E-02
    2          3.494E-02  4.236E-02  8.959E-02
    3          3.494E-02  4.236E-02  8.959E-02
 
 STRESS of ELEMENT :   34
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          2.695E-02  4.761E-02  9.364E-02
    2          2.695E-02  4.761E-02  9.364E-02
    3          2.695E-02  4.761E-02  9.364E-02
 
 STRESS of ELEMENT :   35
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          1.922E-02  5.144E-02  9.573E-02
    2          1.922E-02  5.144E-02  9.573E-02
    3          1.922E-02  5.144E-02  9.573E-02
 
 STRESS of ELEMENT :   36
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          1.102E-02  5.369E-02  9.605E-02
    2          1.102E-02  5.369E-02  9.605E-02
    3          1.102E-02  5.369E-02  9.605E-02
 
 STRESS of ELEMENT :   37
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          1.743E-03  5.459E-02  9.471E-02
    2          1.743E-03  5.459E-02  9.471E-02
    3          1.743E-03  5.459E-02  9.471E-02
 
 STRESS of ELEMENT :   38
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -8.643E-03  5.475E-02  9.160E-02
    2         -8.643E-03  5.475E-02  9.160E-02
    3         -8.643E-03  5.475E-02  9.160E-02
 
 STRESS of ELEMENT :   39
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -1.969E-02  5.505E-02  8.523E-02
    2         -1.969E-02  5.505E-02  8.523E-02
    3         -1.969E-02  5.505E-02  8.523E-02
 
 STRESS of ELEMENT :   40
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          7.922E-02  2.641E-02  3.626E-02
    2          7.922E-02  2.641E-02  3.626E-02
    3          7.922E-02  2.641E-02  3.626E-02
 
 STRESS of ELEMENT :   41
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          7.253E-02  1.968E-02  4.278E-02
    2          7.253E-02  1.968E-02  4.278E-02
    3          7.253E-02  1.968E-02  4.278E-02
 
 STRESS of ELEMENT :   42
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          6.245E-02  1.574E-02  5.212E-02
    2          6.245E-02  1.574E-02  5.212E-02
    3          6.245E-02  1.574E-02  5.212E-02
 
 STRESS of ELEMENT :   43
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          5.068E-02  1.593E-02  6.170E-02
    2          5.068E-02  1.593E-02  6.170E-02
    3          5.068E-02  1.593E-02  6.170E-02
 
 STRESS of ELEMENT :   44
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          3.890E-02  1.976E-02  6.998E-02
    2          3.890E-02  1.976E-02  6.998E-02
    3          3.890E-02  1.976E-02  6.998E-02
 
 STRESS of ELEMENT :   45
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          2.823E-02  2.578E-02  7.633E-02
    2          2.823E-02  2.578E-02  7.633E-02
    3          2.823E-02  2.578E-02  7.633E-02
 
 STRESS of ELEMENT :   46
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          1.910E-02  3.242E-02  8.077E-02
    2          1.910E-02  3.242E-02  8.077E-02
    3          1.910E-02  3.242E-02  8.077E-02
 
 STRESS of ELEMENT :   47
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          1.128E-02  3.848E-02  8.363E-02
    2          1.128E-02  3.848E-02  8.363E-02
    3          1.128E-02  3.848E-02  8.363E-02
 
 STRESS of ELEMENT :   48
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          4.165E-03  4.338E-02  8.527E-02
    2          4.165E-03  4.338E-02  8.527E-02
    3          4.165E-03  4.338E-02  8.527E-02
 
 STRESS of ELEMENT :   49
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -2.904E-03  4.706E-02  8.602E-02
    2         -2.904E-03  4.706E-02  8.602E-02
    3         -2.904E-03  4.706E-02  8.602E-02
 
 STRESS of ELEMENT :   50
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -1.022E-02  4.992E-02  8.612E-02
    2         -1.022E-02  4.992E-02  8.612E-02
    3         -1.022E-02  4.992E-02  8.612E-02
 
 STRESS of ELEMENT :   51
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -1.738E-02  5.273E-02  8.557E-02
    2         -1.738E-02  5.273E-02  8.557E-02
    3         -1.738E-02  5.273E-02  8.557E-02
 
 STRESS of ELEMENT :   52
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -2.424E-02  5.666E-02  8.275E-02
    2         -2.424E-02  5.666E-02  8.275E-02
    3         -2.424E-02  5.666E-02  8.275E-02
 
 STRESS of ELEMENT :   53
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          7.220E-02  2.407E-02  3.365E-02
    2          7.220E-02  2.407E-02  3.365E-02
    3          7.220E-02  2.407E-02  3.365E-02
 
 STRESS of ELEMENT :   54
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          6.162E-02  1.256E-02  4.092E-02
    2          6.162E-02  1.256E-02  4.092E-02
